BusinessEntityID,PersonType,NameStyle,FirstName,LastName,EmailPromotion
1,EM,0,Ken,Sánchez,0
2,EM,0,Terri,Duffy,1
3,EM,0,Roberto,Tamburello,0
4,EM,0,Rob,Walters,0
5,EM,0,Gail,Erickson,0
6,EM,0,Jossef,Goldberg,0
7,EM,0,Dylan,Miller,2
8,EM,0,Diane,Margheim,0
9,EM,0,Gigi,Matthew,0
10,EM,0,Michael,Raheem,2
11,EM,0,Ovidiu,Cracium,0
12,EM,0,Thierry,D'Hers,2
13,EM,0,Janice,Galvin,2
14,EM,0,Michael,Sullivan,2
15,EM,0,Sharon,Salavaria,2
16,EM,0,David,Bradley,1
17,EM,0,Kevin,Brown,2
18,EM,0,John,Wood,2
19,EM,0,Mary,Dempsey,1
20,EM,0,Wanida,Benshoof,2
21,EM,0,Terry,Eminhizer,2
22,EM,0,Sariya,Harnpadoungsataya,0
23,EM,0,Mary,Gibson,0
24,EM,0,Jill,Williams,0
25,EM,0,James,Hamilton,0
26,EM,0,Peter,Krebs,0
27,EM,0,Jo,Brown,0
28,EM,0,Guy,Gilbert,0
29,EM,0,Mark,McArthur,1
30,EM,0,Britta,Simon,0
31,EM,0,Margie,Shoop,2
32,EM,0,Rebecca,Laszlo,1
33,EM,0,Annik,Stahl,0
34,EM,0,Suchitra,Mohan,2
35,EM,0,Brandon,Heidepriem,1
36,EM,0,Jose,Lugo,2
37,EM,0,Chris,Okelberry,0
38,EM,0,Kim,Abercrombie,2
39,EM,0,Ed,Dudenhoefer,0
40,EM,0,JoLynn,Dobney,1
41,EM,0,Bryan,Baker,0
42,EM,0,James,Kramer,2
43,EM,0,Nancy,Anderson,1
44,EM,0,Simon,Rapier,0
45,EM,0,Thomas,Michaels,1
46,EM,0,Eugene,Kogan,0
47,EM,0,Andrew,Hill,1
48,EM,0,Ruth,Ellerbrock,0
49,EM,0,Barry,Johnson,0
50,EM,0,Sidney,Higa,0
51,EM,0,Jeffrey,Ford,0
52,EM,0,Doris,Hartwig,0
53,EM,0,Diane,Glimp,2
54,EM,0,Bonnie,Kearney,0
55,EM,0,Taylor,Maxwell,0
56,EM,0,Denise,Smith,0
57,EM,0,Frank,Miller,1
58,EM,0,Kendall,Keil,2
59,EM,0,Bob,Hohman,0
60,EM,0,Pete,Male,2
61,EM,0,Diane,Tibbott,0
62,EM,0,John,Campbell,1
63,EM,0,Maciej,Dusza,0
64,EM,0,Michael,Zwilling,1
65,EM,0,Randy,Reeves,0
66,EM,0,Karan,Khanna,1
67,EM,0,Jay,Adams,0
68,EM,0,Charles,Fitzgerald,2
69,EM,0,Steve,Masters,1
70,EM,0,David,Ortiz,0
71,EM,0,Michael,Ray,2
72,EM,0,Steven,Selikoff,2
73,EM,0,Carole,Poland,2
74,EM,0,Bjorn,Rettig,1
75,EM,0,Michiko,Osada,0
76,EM,0,Carol,Philips,2
77,EM,0,Merav,Netz,0
78,EM,0,Reuben,D'sa,2
79,EM,0,Eric,Brown,0
80,EM,0,Sandeep,Kaliyath,2
81,EM,0,Mihail,Frintu,0
82,EM,0,Jack,Creasey,0
83,EM,0,Patrick,Cook,0
84,EM,0,Frank,Martinez,1
85,EM,0,Brian,Goldstein,0
86,EM,0,Ryan,Cornelsen,2
87,EM,0,Cristian,Petculescu,1
88,EM,0,Betsy,Stadick,0
89,EM,0,Patrick,Wedge,0
90,EM,0,Danielle,Tiedt,1
91,EM,0,Kimberly,Zimmerman,0
92,EM,0,Tom,Vande Velde,0
93,EM,0,Kok-Ho,Loh,2
94,EM,0,Russell,Hunter,1
95,EM,0,Jim,Scardelis,2
96,EM,0,Elizabeth,Keyser,0
97,EM,0,Mandar,Samant,0
98,EM,0,Sameer,Tejani,0
99,EM,0,Nuan,Yu,0
100,EM,0,Lolan,Song,1
101,EM,0,Houman,Pournasseh,2
102,EM,0,Zheng,Mu,0
103,EM,0,Ebru,Ersan,2
104,EM,0,Mary,Baker,2
105,EM,0,Kevin,Homer,0
106,EM,0,John,Kane,1
107,EM,0,Christopher,Hill,0
108,EM,0,Jinghao,Liu,0
109,EM,0,Alice,Ciccu,1
110,EM,0,Jun,Cao,0
111,EM,0,Suroor,Fatima,0
112,EM,0,John,Evans,1
113,EM,0,Linda,Moschell,1
114,EM,0,Mindaugas,Krapauskas,1
115,EM,0,Angela,Barbariol,2
116,EM,0,Michael,Patten,0
117,EM,0,Chad,Niswonger,1
118,EM,0,Don,Hall,0
119,EM,0,Michael,Entin,1
120,EM,0,Kitti,Lertpiriyasuwat,0
121,EM,0,Pilar,Ackerman,0
122,EM,0,Susan,Eaton,2
